County,Population,Poverty Count,No Degree,Degree,Lat,Lng
Abbeville County,20747.0,4669.0,5102.0,3220.0,34.23,-82.47
Ada County,429367.0,51360.0,64301.0,131300.0,43.42,-116.13
Adair County,72700.0,17031.0,17784.0,11932.0,40.2,-92.6
Adams County,768317.0,100228.0,172132.0,149855.0,39.87,-104.38
Addison County,35684.0,2861.0,7780.0,10793.0,44.05,-73.12
Aiken County,154849.0,27174.0,35016.0,35160.0,33.58,-81.6
Aitkin County,15914.0,1972.0,4775.0,3456.0,46.6,-93.42
Alachua County,257641.0,58172.0,35538.0,80112.0,29.71,-82.33
Alamance County,163481.0,28312.0,32950.0,35744.0,36.03,-79.4
Alameda County,1611207.0,189954.0,227485.0,566876.0,37.6,-121.88
Alamosa County,16398.0,4802.0,2519.0,2875.0,37.6,-105.8
Albany County,326664.0,46321.0,54412.0,107662.0,42.6,-73.97
Albemarle County,87024.0,7124.0,12534.0,31613.0,38.03,-78.55
Aleutians East Borough,3299.0,510.0,1074.0,483.0,54.85,-163.42
Aleutians West Census Area,5512.0,426.0,1631.0,860.0,52.24,-175.13
Alexander County,44113.0,8127.0,12628.0,6333.0,37.18,-89.18
Alger County,9149.0,1107.0,3256.0,1861.0,46.33,-86.7
Allegan County,100018.0,10682.0,26579.0,19668.0,42.6,-85.87
Allegany County,121890.0,18795.0,33920.0,24397.0,39.67,-78.67
Allegheny County,1214829.0,151768.0,258363.0,421273.0,40.63,-80.13
Allen County,508511.0,76806.0,108128.0,113324.0,41.07,-85.01
Allen Parish,25174.0,3229.0,8033.0,2985.0,30.65,-92.8
Alpine County,1143.0,216.0,251.0,271.0,38.6,-119.8
Amador County,37043.0,3723.0,7986.0,8736.0,38.45,-120.65
Anchorage Municipality,299027.0,23652.0,47628.0,81884.0,61.17,-149.25
Anderson County,336568.0,52768.0,82686.0,64365.0,34.53,-82.65
Androscoggin County,107376.0,15370.0,28260.0,23212.0,44.17,-70.17
Angelina County,88059.0,16791.0,19245.0,13108.0,31.25,-94.57
Anne Arundel County,540656.0,31471.0,89665.0,176531.0,39,-76.62
Anoka County,322828.0,24337.0,63222.0,89403.0,45.25,-93.25
Anson County,25970.0,5470.0,7656.0,3090.0,34.98,-80.1
Antrim County,22685.0,3081.0,6199.0,5571.0,45.05,-85.13
Aransas County,21870.0,3315.0,4956.0,4546.0,28.1,-96.98
Arapahoe County,639734.0,73930.0,95789.0,200561.0,39.65,-104.38
Arkansas County,19151.0,3633.0,5545.0,2635.0,34.32,-91.4
Arlington County,226574.0,19528.0,16720.0,131288.0,38.87,-77.1
Aroostook County,69112.0,11912.0,19766.0,14237.0,46.67,-68.5
Ascension Parish,117156.0,13320.0,26778.0,25455.0,30.22,-90.9
Ashland County,69810.0,9535.0,19606.0,13837.0,40.82,-82.27
Ashtabula County,99643.0,18794.0,31345.0,14252.0,41.7,-80.77
Atchison County,24024.0,3894.0,6511.0,4327.0,40.43,-95.4
Athens County,70033.0,17588.0,13499.0,14899.0,39.35,-82.05
Atlantic County,273588.0,40906.0,64838.0,60992.0,39.47,-74.67
Atoka County,12663.0,2448.0,3591.0,1651.0,34.4,-96.02
Autauga County,53708.0,7256.0,12409.0,11682.0,32.53,-86.65
Baca County,3713.0,634.0,803.0,808.0,37.33,-102.55
Baker County,45418.0,7254.0,11929.0,7543.0,44.75,-117.67
Baldwin County,243846.0,37750.0,51245.0,61743.0,30.75,-87.77
Ballard County,6210.0,988.0,1620.0,1048.0,37.05,-89
Baltimore County,817931.0,75942.0,158673.0,248833.0,39.47,-76.65
Bannock County,86476.0,15606.0,14796.0,19410.0,42.65,-112.21
Barber County,4902.0,656.0,1243.0,974.0,37.23,-98.68
Barnstable County,217084.0,17483.0,42954.0,83700.0,41.67,-70.25
Barren County,40545.0,8126.0,11714.0,6196.0,36.95,-85.95
Barrow County,78982.0,10621.0,17888.0,13531.0,33.98,-83.72
Barry County,87138.0,13350.0,23836.0,15446.0,42.6,-85.32
Bartholomew County,80414.0,9792.0,19629.0,20619.0,39.2,-85.92
Barton County,39184.0,6939.0,9461.0,7061.0,38.47,-98.77
Bartow County,101996.0,13863.0,23862.0,17560.0,34.25,-84.85
Baxter County,40266.0,5544.0,10677.0,8084.0,36.33,-92.37
Bay County,282751.0,43682.0,66027.0,62974.0,30.21,-85.62
Bayfield County,12533.0,1583.0,2838.0,3927.0,46.55,-91.15
Beadle County,18393.0,3787.0,4333.0,3878.0,44.39,-98.28
Bear Lake County,5738.0,811.0,1550.0,1062.0,42.31,-111.31
Beaufort County,224322.0,29639.0,41113.0,69933.0,32.37,-80.7
Beauregard Parish,38539.0,7163.0,10852.0,5917.0,30.65,-93.33
Beaver County,174749.0,18727.0,49353.0,43408.0,40.75,-80.5
Becker County,31968.0,3944.0,7196.0,8160.0,46.95,-95.68
Beckham County,23619.0,3115.0,6301.0,4024.0,35.27,-99.67
Bedford County,164960.0,20604.0,47073.0,32455.0,35.52,-86.45
Belknap County,56891.0,5733.0,12428.0,17133.0,43.52,-71.43
Bell County,369004.0,58147.0,64086.0,70560.0,31.05,-97.47
Beltrami County,45948.0,8009.0,7783.0,11117.0,47.92,-94.9
Benewah County,9591.0,1569.0,2644.0,1486.0,47.21,-116.63
Bennington County,36332.0,4658.0,8008.0,10819.0,43.03,-73.1
Bent County,5652.0,931.0,2147.0,892.0,37.97,-103.07
Benton County,612350.0,85189.0,117616.0,153932.0,36.33,-94.33
Bergen County,930310.0,69119.0,164322.0,346916.0,40.93,-74.05
Berkeley County,264393.0,35143.0,60650.0,55234.0,33.18,-79.95
Berks County,412885.0,57384.0,108387.0,88360.0,40.63,-75.88
Berkshire County,128563.0,15136.0,29373.0,38799.0,42.33,-73.25
Bernalillo County,671656.0,123974.0,112094.0,184736.0,35.05,-106.67
