Name,Population,Poverty Count,No Education,High School Education,GED Education,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctoral Degree,Poverty Rate,No Degree,Degree
Alabama,4841164.0,868666.0,42577.0,828205.0,181388.0,258502.0,492382.0,208839.0,49283.0,32572.0,17.943329331540927,1052170.0,1041578.0
Alaska,736855.0,72826.0,3020.0,106169.0,24342.0,39133.0,86551.0,35423.0,8522.0,5029.0,9.88335561270535,133531.0,174658.0
Arizona,6728577.0,1165636.0,62538.0,898657.0,179701.0,379207.0,777681.0,333226.0,76987.0,53531.0,17.323662937943638,1140896.0,1620632.0
Arkansas,2968472.0,542431.0,23010.0,561132.0,122754.0,127004.0,273557.0,108055.0,24517.0,18317.0,18.27307112885013,706896.0,551450.0
California,38654206.0,6004257.0,673089.0,4678279.0,582625.0,1995579.0,5136043.0,2045487.0,597874.0,397083.0,15.533256587911804,5933993.0,10172066.0
Colorado,5359295.0,637938.0,32415.0,639310.0,140723.0,301602.0,874953.0,376273.0,79545.0,58959.0,11.903394009846444,812448.0,1691332.0
Connecticut,3588570.0,360464.0,24315.0,593793.0,79427.0,184426.0,524370.0,300566.0,72543.0,40840.0,10.044781068782273,697535.0,1122745.0
Delaware,934695.0,109448.0,7100.0,176928.0,22533.0,49591.0,115770.0,57237.0,11650.0,10664.0,11.70948812179374,206561.0,244912.0
District of Columbia,659009.0,112060.0,5004.0,71315.0,12052.0,14496.0,108252.0,90366.0,38536.0,19162.0,17.00432012309392,88371.0,270812.0
Florida,19934451.0,3139258.0,205055.0,3516434.0,594595.0,1348226.0,2514297.0,972529.0,285100.0,157870.0,15.747902964571233,4316084.0,5278022.0
Georgia,10099320.0,1746894.0,88872.0,1528586.0,322015.0,484768.0,1208700.0,515377.0,131058.0,82955.0,17.297144758260952,1939473.0,2422858.0
Hawaii,1413673.0,148577.0,10437.0,248106.0,22477.0,100990.0,201712.0,67433.0,22331.0,13725.0,10.509997715171755,281020.0,406191.0
Idaho,1635483.0,244585.0,10709.0,234652.0,54433.0,97833.0,187399.0,60596.0,15684.0,11305.0,14.954909344823516,299794.0,372817.0
Illinois,12851684.0,1753731.0,102947.0,1975231.0,311895.0,671821.0,1744260.0,800474.0,183437.0,106698.0,13.645923755984041,2390073.0,3506690.0
Indiana,6589578.0,957694.0,39122.0,1261742.0,224309.0,364277.0,681986.0,283692.0,59629.0,42755.0,14.533464813680027,1525173.0,1432339.0
Iowa,3106589.0,369828.0,14401.0,573723.0,82957.0,231629.0,379649.0,124692.0,32007.0,23083.0,11.904632379757992,671081.0,791060.0
Kansas,2898292.0,373162.0,16010.0,421417.0,78478.0,152963.0,380391.0,156690.0,34492.0,22228.0,12.875238243765638,515905.0,746764.0
Kentucky,4411989.0,804139.0,32514.0,786862.0,203460.0,231405.0,397154.0,199251.0,49576.0,28184.0,18.226224045436197,1022836.0,905570.0
Louisiana,4645670.0,889570.0,38944.0,876224.0,162367.0,174294.0,461804.0,163465.0,49436.0,29170.0,19.148368265503144,1077535.0,878169.0
Maine,1329923.0,174405.0,5494.0,267967.0,49406.0,93123.0,180436.0,71209.0,16655.0,12270.0,13.113917121517561,322867.0,373693.0
Maryland,5959902.0,576835.0,44749.0,904895.0,125410.0,259899.0,838732.0,495667.0,119853.0,102459.0,9.678598742059853,1075054.0,1816610.0
Massachusetts,6742143.0,740836.0,64175.0,1032460.0,134638.0,359774.0,1072120.0,591993.0,133860.0,118833.0,10.988138341177278,1231273.0,2276580.0
Michigan,9909600.0,1575066.0,72694.0,1710082.0,268580.0,608429.0,1117697.0,526378.0,111392.0,76331.0,15.894344877694357,2051356.0,2440227.0
Minnesota,5450868.0,577196.0,40252.0,825855.0,114460.0,401968.0,834294.0,292979.0,76625.0,50039.0,10.589065814839032,980567.0,1655905.0
Mississippi,2989192.0,645553.0,26988.0,472088.0,121334.0,170289.0,255615.0,110498.0,25455.0,18323.0,21.59623737785997,620410.0,580180.0
