Zipcode,Population,Poverty Count,No Education,High School Education,GED Education,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctoral Degree,No Degree,Degree
37064,54462.0,4577.0,190.0,5723.0,1027.0,2050.0,12398.0,4510.0,899.0,751.0,6940.0,20608.0
37066,46969.0,5231.0,386.0,7368.0,1852.0,2235.0,5326.0,2245.0,384.0,157.0,9606.0,10347.0
37067,26841.0,1008.0,23.0,2030.0,259.0,1143.0,7181.0,3273.0,842.0,567.0,2312.0,13006.0
37069,19522.0,659.0,25.0,1000.0,71.0,664.0,5663.0,2234.0,671.0,375.0,1096.0,9607.0
37072,31914.0,3670.0,272.0,6036.0,1104.0,1749.0,3895.0,1259.0,376.0,168.0,7412.0,7447.0
37073,14086.0,1213.0,60.0,3215.0,617.0,591.0,1100.0,371.0,35.0,29.0,3892.0,2126.0
37074,7016.0,1105.0,68.0,1525.0,390.0,286.0,457.0,171.0,54.0,8.0,1983.0,976.0
37075,63452.0,3914.0,267.0,10245.0,1509.0,3353.0,10091.0,3281.0,851.0,622.0,12021.0,18198.0
37076,37814.0,3897.0,299.0,5799.0,1060.0,2065.0,6340.0,2125.0,338.0,269.0,7158.0,11137.0
37078,462.0,37.0,0.0,133.0,34.0,15.0,35.0,0.0,0.0,0.0,167.0,50.0
37079,1836.0,292.0,0.0,493.0,74.0,133.0,63.0,140.0,0.0,20.0,567.0,356.0
37080,7268.0,717.0,102.0,1793.0,356.0,346.0,761.0,246.0,83.0,6.0,2251.0,1442.0
37082,6523.0,794.0,0.0,911.0,296.0,459.0,714.0,329.0,35.0,15.0,1207.0,1552.0
37083,14607.0,1902.0,147.0,3080.0,1255.0,691.0,493.0,292.0,103.0,60.0,4482.0,1639.0
37085,4292.0,676.0,41.0,1160.0,134.0,153.0,420.0,52.0,0.0,32.0,1335.0,657.0
37086,33603.0,3990.0,316.0,6090.0,1239.0,1237.0,2810.0,862.0,86.0,13.0,7645.0,5008.0
37087,44501.0,5311.0,303.0,8752.0,1651.0,2496.0,4629.0,1667.0,418.0,318.0,10706.0,9528.0
37090,14409.0,1576.0,184.0,2957.0,546.0,567.0,1733.0,542.0,74.0,95.0,3687.0,3011.0
37091,21755.0,3376.0,175.0,4915.0,1507.0,789.0,1471.0,378.0,95.0,59.0,6597.0,2792.0
37095,1911.0,439.0,0.0,511.0,115.0,160.0,153.0,9.0,2.0,0.0,626.0,324.0
37096,5536.0,1435.0,12.0,1279.0,330.0,173.0,272.0,93.0,16.0,7.0,1621.0,561.0
37097,2285.0,781.0,26.0,585.0,73.0,80.0,122.0,26.0,0.0,9.0,684.0,237.0
37098,5726.0,1446.0,15.0,1336.0,286.0,207.0,294.0,14.0,25.0,0.0,1637.0,540.0
37101,6798.0,1415.0,62.0,1157.0,476.0,244.0,351.0,268.0,39.0,28.0,1695.0,930.0
37110,33028.0,6985.0,396.0,7932.0,2039.0,953.0,1658.0,841.0,296.0,95.0,10367.0,3843.0
37115,40146.0,8263.0,534.0,7385.0,1806.0,1662.0,2740.0,1441.0,140.0,220.0,9725.0,6203.0
37118,923.0,138.0,0.0,124.0,0.0,17.0,155.0,15.0,14.0,0.0,124.0,201.0
37122,53219.0,2950.0,136.0,7747.0,1132.0,3217.0,9032.0,2947.0,534.0,326.0,9015.0,16056.0
37127,17695.0,2091.0,78.0,2488.0,688.0,619.0,2775.0,917.0,169.0,138.0,3254.0,4618.0
37128,45969.0,3295.0,179.0,5939.0,1301.0,2307.0,7398.0,2373.0,319.0,178.0,7419.0,12575.0
37129,54412.0,4244.0,299.0,8548.0,1515.0,2576.0,8421.0,2816.0,602.0,625.0,10362.0,15040.0
37130,55300.0,13462.0,376.0,7136.0,1471.0,2145.0,7046.0,2044.0,616.0,591.0,8983.0,12442.0
37132,2563.0,0.0,0.0,7.0,0.0,9.0,37.0,16.0,0.0,0.0,7.0,62.0
37134,2805.0,379.0,16.0,928.0,150.0,75.0,164.0,41.0,32.0,10.0,1094.0,322.0
37135,10863.0,519.0,6.0,1049.0,152.0,474.0,2348.0,987.0,142.0,111.0,1207.0,4062.0
37137,3372.0,894.0,57.0,564.0,287.0,157.0,90.0,13.0,18.0,0.0,908.0,278.0
37138,23813.0,2998.0,87.0,3967.0,640.0,1497.0,3608.0,896.0,288.0,216.0,4694.0,6505.0
37140,1239.0,0.0,3.0,202.0,343.0,17.0,12.0,15.0,5.0,0.0,548.0,49.0
37141,1528.0,163.0,2.0,351.0,61.0,66.0,167.0,20.0,0.0,4.0,414.0,257.0
37142,1938.0,240.0,16.0,576.0,37.0,19.0,129.0,55.0,16.0,6.0,629.0,225.0
37143,3846.0,605.0,18.0,701.0,197.0,214.0,359.0,107.0,15.0,17.0,916.0,712.0
37144,2979.0,441.0,5.0,864.0,170.0,104.0,181.0,106.0,3.0,27.0,1039.0,421.0
37145,1987.0,529.0,8.0,341.0,167.0,51.0,32.0,31.0,8.0,0.0,516.0,122.0
37146,7111.0,696.0,33.0,1382.0,137.0,351.0,873.0,395.0,20.0,42.0,1552.0,1681.0
37148,23548.0,3255.0,121.0,5085.0,1439.0,1106.0,1240.0,397.0,110.0,32.0,6645.0,2885.0
37149,2586.0,326.0,0.0,580.0,182.0,97.0,311.0,72.0,13.0,7.0,762.0,500.0
37150,4875.0,1608.0,31.0,1333.0,198.0,142.0,119.0,149.0,10.0,10.0,1562.0,430.0
37151,432.0,29.0,0.0,108.0,8.0,27.0,36.0,37.0,14.0,21.0,116.0,135.0
37153,5602.0,253.0,1.0,1022.0,133.0,311.0,979.0,238.0,74.0,64.0,1156.0,1666.0
37160,33879.0,5823.0,478.0,6741.0,2212.0,1110.0,2035.0,653.0,171.0,89.0,9431.0,4058.0
37165,68.0,23.0,2.0,14.0,6.0,7.0,1.0,0.0,0.0,0.0,22.0,8.0
37166,13990.0,3330.0,102.0,3391.0,799.0,392.0,821.0,297.0,79.0,97.0,4292.0,1686.0
37167,55622.0,6872.0,415.0,10018.0,2020.0,3043.0,6603.0,1876.0,328.0,130.0,12453.0,11980.0
37171,511.0,156.0,0.0,140.0,14.0,0.0,0.0,27.0,0.0,0.0,154.0,27.0
37172,28511.0,3910.0,210.0,6594.0,1433.0,1279.0,1865.0,836.0,135.0,164.0,8237.0,4279.0
37174,33604.0,1343.0,132.0,3923.0,808.0,2307.0,5854.0,1786.0,135.0,131.0,4863.0,10213.0
37175,883.0,326.0,0.0,213.0,39.0,63.0,36.0,7.0,0.0,0.0,252.0,106.0
37178,2280.0,367.0,21.0,615.0,126.0,99.0,81.0,26.0,23.0,7.0,762.0,236.0
37179,12713.0,441.0,0.0,1262.0,207.0,879.0,2474.0,1067.0,34.0,113.0,1469.0,4567.0
37180,3309.0,255.0,31.0,828.0,107.0,201.0,191.0,45.0,0.0,0.0,966.0,437.0
37181,1715.0,235.0,10.0,383.0,85.0,100.0,66.0,30.0,9.0,8.0,478.0,213.0
37183,3145.0,697.0,5.0,853.0,194.0,163.0,239.0,74.0,21.0,7.0,1052.0,504.0
37184,5850.0,1203.0,68.0,1462.0,246.0,289.0,299.0,124.0,43.0,2.0,1776.0,757.0
37185,8482.0,1513.0,81.0,2157.0,476.0,417.0,450.0,272.0,7.0,18.0,2714.0,1164.0
37186,8825.0,1661.0,94.0,2326.0,550.0,252.0,424.0,144.0,43.0,11.0,2970.0,874.0
37187,7345.0,965.0,104.0,1788.0,590.0,229.0,230.0,181.0,32.0,51.0,2482.0,723.0
37188,14678.0,580.0,88.0,2764.0,636.0,758.0,1766.0,428.0,125.0,37.0,3488.0,3114.0
37189,3511.0,435.0,9.0,639.0,243.0,167.0,449.0,233.0,67.0,29.0,891.0,945.0
37190,8799.0,1408.0,77.0,2392.0,499.0,245.0,577.0,228.0,45.0,26.0,2968.0,1121.0
37191,3809.0,220.0,19.0,827.0,351.0,124.0,373.0,94.0,13.0,11.0,1197.0,615.0
37201,1661.0,86.0,0.0,127.0,157.0,50.0,495.0,102.0,26.0,18.0,284.0,691.0
37203,12726.0,4169.0,98.0,1400.0,314.0,254.0,2745.0,1148.0,382.0,226.0,1812.0,4755.0
37204,13760.0,1037.0,37.0,838.0,119.0,294.0,3165.0,1521.0,575.0,354.0,994.0,5909.0
37205,24714.0,1501.0,6.0,1237.0,287.0,691.0,7018.0,3486.0,2020.0,1017.0,1530.0,14232.0
37206,25372.0,6122.0,180.0,2951.0,725.0,909.0,4609.0,1723.0,459.0,425.0,3856.0,8125.0
37207,36977.0,11558.0,597.0,6013.0,1093.0,1111.0,2612.0,1384.0,114.0,220.0,7703.0,5441.0
37208,17103.0,5941.0,171.0,2567.0,491.0,379.0,1988.0,856.0,182.0,98.0,3229.0,3503.0
37209,38001.0,6495.0,209.0,4257.0,1463.0,1647.0,6163.0,2457.0,855.0,423.0,5929.0,11545.0
04030,2666.0,111.0,0.0,444.0,54.0,233.0,166.0,139.0,13.0,0.0,498.0,551.0
